playerID,MVP,Gold_Glove,Cy_Young_Award,All_Star_Game,Batting_Seasons_Number,Batting_LastSeason,Batting_Games,Batting_At_Bats,Batting_Runs,Batting_Hits,Batting_Doubles,Batting_Triples,Batting_Homeruns,Batting_Runs_Batted_In,Batting_Stolen_Bases,Batting_Caught_Steading,Batting_Base_on_Balls,Batting_Intentional_walks,Batting_Hit_by_pitch,Batting_Sacrifice_hits,Batting_Grounded_into_double_plays,Pitching_Wins,Pitching_Games,Pitching_Shutouts,Pitching_Saves,Pitching_Outs_Pitched,Pitching_Earned_Runs,Pitching_Strikeouts,Pitching_ERA,Pitching_HBP,Pitching_BK,Pitching_BFP,Pitching_GF,Pitching_R,inducted
freehbi01,0,5,0,8,15,1976,1774,6073,706,1591,241,35,200,758,24,21,626,67,114,38,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
fregoji01,0,1,0,6,18,1978,1902,6523,844,1726,264,78,151,706,76,40,715,48,32,79,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
friscfr01,1,0,0,2,19,1937,2311,9112,1532,2880,466,138,105,1244,419,74,728,0,31,229,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
frymatr01,0,1,0,5,13,2002,1698,6481,895,1776,345,40,223,1022,72,38,602,19,41,15,154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
frymawo01,0,0,0,0,18,1983,625,609,22,84,6,0,2,25,1,0,14,0,1,63,2,141,625,27,58,7234,1010,1587,91.14000046253204,68,16,10291,160,1136,N
furilca01,0,0,0,0,15,1960,1806,6378,895,1910,324,56,192,1058,48,26,514,28,47,59,207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gaettga01,0,4,0,2,20,2000,2507,8951,1130,2280,443,39,360,1341,96,65,634,57,96,32,236,0,3,0,0,7,2,1,18,1,0,14,3,2,N
gagliph01,0,0,0,NULL,12,1974,702,1411,150,336,50,7,14,159,5,4,163,7,4,12,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gagneer01,0,0,1,3,10,2008,402,86,5,12,2,1,1,3,0,1,1,0,0,12,2,33,402,0,187,1931,248,718,34.41000032424927,33,1,2664,269,268,N
galanau01,0,0,0,3,16,1949,1742,5937,1004,1706,336,74,100,830,123,0,979,0,25,62,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
